#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
4527;20/02/2026 18:29:21;IRP_MJ_CREATE;DOWN;;;"C:\Program Files (x86)\Beelight\Beelight V3.0\Beelight.exe";;;COM7;;
4528;20/02/2026 18:29:21;IRP_MJ_CREATE;UP;STATUS_SUCCESS;;"C:\Program Files (x86)\Beelight\Beelight V3.0\Beelight.exe";;;COM7;;
4529;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);DOWN;;;"";;;COM7;;
4530;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);UP;STATUS_SUCCESS;40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 06 00 00 00 cd 00 00 00 7f 00 00 00 70 6b 06 00 0c 00 01 1f 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"@...........................Õ......pk...........@..............";64;;COM7;;
4531;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);DOWN;;;"";;;COM7;;
4532;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 ;"....";4;;COM7;;
4533;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
4534;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;00 c2 01 00 ;".¬..";4;;COM7;;
4535;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM7;;
4536;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM7;;
4537;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM7;;
4538;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;00 00 00 00 00 00 ;"......";6;;COM7;;
4539;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM7;;
4540;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 ;"....@...........";16;;COM7;;
4541;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
4542;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;00 c2 01 00 ;".¬..";4;;COM7;;
4543;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM7;;
4544;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM7;;
4545;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM7;;
4546;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;00 00 00 00 00 00 ;"......";6;;COM7;;
4547;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM7;;
4548;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 ;"....@...........";16;;COM7;;
4549;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;;20 a1 07 00 ;" °..";4;;COM7;;
4550;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM7;;
4551;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_RTS);DOWN;;;"";;;COM7;;
4552;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_RTS);UP;STATUS_SUCCESS;;"";;;COM7;;
4553;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;;;"";;;COM7;;
4554;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM7;;
4555;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;;00 00 08 ;"...";3;;COM7;;
4556;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM7;;
4557;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4558;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM7;;
4559;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;;00 00 00 00 40 00 00 00 00 10 00 00 00 10 00 00 ;"....@...........";16;;COM7;;
4560;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM7;;
4561;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
4562;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;20 a1 07 00 ;" °..";4;;COM7;;
4563;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM7;;
4564;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM7;;
4565;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM7;;
4566;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4567;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM7;;
4568;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 40 00 00 00 00 10 00 00 00 10 00 00 ;"....@...........";16;;COM7;;
4569;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;;20 a1 07 00 ;" °..";4;;COM7;;
4570;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM7;;
4571;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_RTS);DOWN;;;"";;;COM7;;
4572;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_RTS);UP;STATUS_SUCCESS;;"";;;COM7;;
4573;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;;;"";;;COM7;;
4574;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM7;;
4575;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;;00 00 08 ;"...";3;;COM7;;
4576;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM7;;
4577;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4578;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM7;;
4579;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;;00 00 00 00 40 00 00 00 00 10 00 00 00 10 00 00 ;"....@...........";16;;COM7;;
4580;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM7;;
4581;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;;;"";;;COM7;;
4582;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM7;;
4583;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
4584;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;20 a1 07 00 ;" °..";4;;COM7;;
4585;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM7;;
4586;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM7;;
4587;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM7;;
4588;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4589;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM7;;
4590;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 40 00 00 00 00 10 00 00 00 10 00 00 ;"....@...........";16;;COM7;;
4591;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;;20 a1 07 00 ;" °..";4;;COM7;;
4592;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM7;;
4593;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);DOWN;;;"";;;COM7;;
4594;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;"";;;COM7;;
4595;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;;;"";;;COM7;;
4596;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM7;;
4597;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;;00 00 08 ;"...";3;;COM7;;
4598;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM7;;
4599;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4600;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM7;;
4601;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;;00 00 00 00 00 00 00 00 00 10 00 00 00 10 00 00 ;"................";16;;COM7;;
4602;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM7;;
4603;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);DOWN;;;"";;;COM7;;
4604;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;"";;;COM7;;
4605;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_TIMEOUTS);DOWN;;ff ff ff ff ff ff ff ff fe ff ff ff 00 00 00 00 00 00 00 00 ;"ˇˇˇˇˇˇˇˇ˛ˇˇˇ........";20;;COM7;;
4606;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_TIMEOUTS);UP;STATUS_SUCCESS;;"";;;COM7;;
4607;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);DOWN;;fb 01 00 00 ;"˚...";4;;COM7;;
4608;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);UP;STATUS_SUCCESS;;"";;;COM7;;
4609;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_QUEUE_SIZE);DOWN;;00 10 00 00 00 08 00 00 ;"........";8;;COM7;;
4610;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_QUEUE_SIZE);UP;STATUS_SUCCESS;;"";;;COM7;;
4611;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;;;"";;;COM7;;
4612;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;01 04 00 00 ;"....";4;;COM7;;
4613;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
4614;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 7e 00 00 00 00 00 00 00 00 00 00 00 ;"........~...........";20;;COM7;;
4615;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);DOWN;;;"";;;COM7;;
4616;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);DOWN;;;"";;;COM7;;
4617;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_COMMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 7e 00 00 00 00 00 00 00 00 00 00 00 ;"........~...........";20;;COM7;;
4618;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);DOWN;;00 00 00 00 ;"....";4;;COM7;;
4619;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_WAIT_ON_MASK);UP;STATUS_SUCCESS;00 00 00 00 ;"....";4;;COM7;;
4620;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_WAIT_MASK);UP;STATUS_SUCCESS;;"";;;COM7;;
4621;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;;;"";;;COM7;;
4622;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM7;;
4623;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_PURGE);DOWN;;0a 00 00 00 ;"....";4;;COM7;;
4624;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_PURGE);UP;STATUS_SUCCESS;;"";;;COM7;;
4625;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_PURGE);DOWN;;05 00 00 00 ;"....";4;;COM7;;
4626;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_PURGE);UP;STATUS_SUCCESS;;"";;;COM7;;
4627;20/02/2026 18:29:21;IRP_MJ_CLOSE;DOWN;;;"";;;COM7;;
4628;20/02/2026 18:29:21;IRP_MJ_CLOSE;UP;STATUS_SUCCESS;;"";;;COM7;;
4629;20/02/2026 18:29:21;IRP_MJ_CREATE;DOWN;;;"C:\Program Files (x86)\Beelight\Beelight V3.0\Beelight.exe";;;COM7;;
4630;20/02/2026 18:29:21;IRP_MJ_CREATE;UP;STATUS_SUCCESS;;"C:\Program Files (x86)\Beelight\Beelight V3.0\Beelight.exe";;;COM7;;
4631;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);DOWN;;;"";;;COM7;;
4632;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);UP;STATUS_SUCCESS;40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 06 00 00 00 cd 00 00 00 7f 00 00 00 70 6b 06 00 0c 00 01 1f 00 00 00 00 00 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ;"@...........................Õ......pk...........@..............";64;;COM7;;
4633;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);DOWN;;;"";;;COM7;;
4634;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 ;"....";4;;COM7;;
4635;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
4636;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;20 a1 07 00 ;" °..";4;;COM7;;
4637;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM7;;
4638;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM7;;
4639;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM7;;
4640;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4641;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM7;;
4642;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 10 00 00 00 10 00 00 ;"................";16;;COM7;;
4643;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
4644;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;20 a1 07 00 ;" °..";4;;COM7;;
4645;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM7;;
4646;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM7;;
4647;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM7;;
4648;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4649;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM7;;
4650;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 10 00 00 00 10 00 00 ;"................";16;;COM7;;
4651;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;;20 a1 07 00 ;" °..";4;;COM7;;
4652;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM7;;
4653;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);DOWN;;;"";;;COM7;;
4654;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;"";;;COM7;;
4655;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;;;"";;;COM7;;
4656;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM7;;
4657;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;;00 00 08 ;"...";3;;COM7;;
4658;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM7;;
4659;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4660;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM7;;
4661;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;;00 00 00 00 00 00 00 00 00 10 00 00 00 10 00 00 ;"................";16;;COM7;;
4662;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM7;;
4663;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM7;;
4664;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;20 a1 07 00 ;" °..";4;;COM7;;
4665;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM7;;
4666;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM7;;
4667;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM7;;
4668;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4669;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM7;;
4670;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 00 10 00 00 00 10 00 00 ;"................";16;;COM7;;
4671;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);DOWN;;20 a1 07 00 ;" °..";4;;COM7;;
4672;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_BAUD_RATE);UP;STATUS_SUCCESS;;"";;;COM7;;
4673;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);DOWN;;;"";;;COM7;;
4674;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_RTS);UP;STATUS_SUCCESS;;"";;;COM7;;
4675;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);DOWN;;;"";;;COM7;;
4676;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_CLR_DTR);UP;STATUS_SUCCESS;;"";;;COM7;;
4677;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);DOWN;;00 00 08 ;"...";3;;COM7;;
4678;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_LINE_CONTROL);UP;STATUS_SUCCESS;;"";;;COM7;;
4679;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);DOWN;;1a 00 00 1a 11 13 ;"......";6;;COM7;;
4680;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_CHARS);UP;STATUS_SUCCESS;;"";;;COM7;;
4681;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);DOWN;;00 00 00 00 00 00 00 00 00 10 00 00 00 10 00 00 ;"................";16;;COM7;;
4682;20/02/2026 18:29:21;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_SET_HANDFLOW);UP;STATUS_SUCCESS;;"";;;COM7;;
